Rodent species,Zoonotic reservoir,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,X5.5_AdultBodyMass_g_EXT,X16.2_LittersPerYear_EXT,X5.6_NeonateBodyMass_g_EXT,X5.7_WeaningBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,Production,postnatGR,RelAgeSexMat,RelAgeBirth,logNeoBM,Abrocomidae,Anomaluridae,Aplodontiidae,Bathyergidae,Calomyscidae,Capromyidae,Castoridae,Caviidae,Chinchillidae,Cricetidae,Ctenodactylidae,Ctenomyidae,Cuniculidae,Dasyproctidae,Dinomyidae,Dipodidae,Echimyidae,Erethizontidae,Geomyidae,Gliridae,Heptaxodontidae,Heteromyidae,Hystricidae,Muridae,Myocastoridae,Nesomyidae,Octodontidae,Pedetidae,Petromuridae,Platacanthomyidae,Sciuridae,Spalacidae,Thryonomyidae,ln.max.long,ln.litter.size,ln.litters.yr,ln.body.mass,ln.production,mean.prevalence,IUCN_binomial,Neotropic,Nearctic,Palearctic,Afrotropic,Indo-Malay,Australasia,Oceania,Antarctic
Abrothrix_hershkovitzi,0,1.712,3.98464108,122.81853,13.97287,107.5125,80.44478,56.7769,4.087,99.13294,3.19951388,1.997,0.00396719,-6.2898343,34.6285038,4.62139583,2.49111958,25.31449,37.97311,6.34391106,29.392,4.16857355,1.68945,7.379,1.233,2.07581579,24.86698,93.6124981,96.83982,104.1255,4.0796363,7.30579,62.5511627,7.48196125,-53.65,-55.9,-54.77,-67.25,-70.89,-69.07,0,1.46787435,0,0.02,35.19,36.26,396.65081,598.898925,0.61679207,7.4894396,0.15655647,0.10564885,0.55241465,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23137696,1.53069679,0.91273224,1.38244724,2.44342903,0.29724175,,NA,NA,NA,NA,NA,NA,NA,NA
Abrothrix_markhami,0,1.584,4.22366544,132.72676,14.38276,125.59585,117.15239,95.42535,3.187,103.09494,3.42073837,1.741,0.00688033,-5.836317,49.31671,3.22327,2.82778625,34.71906,47.76983,5.40489244,25.91235,4.53804718,1.84748,5.442,1.27,1.927,26.71273,105.076822,107.60683,106.39835,3.5771763,7.76464,66.4042227,8.7134456,-48.67,-50.06,-49.37,-74.38,-75.47,-74.92,0,0.52472853,0,0,281.3,46.78,359.8,563.33,0.55320604,6.82214972,0.13693829,0.1012576,0.67153793,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54728882,1.17039637,1.03949416,1.44070334,2.20989053,0.25263201,,NA,NA,NA,NA,NA,NA,NA,NA
Acomys_chudeaui,0,1.912,4.51493278,139.11028,11.28139,105.38891,102.975,89.1270227,2.35874074,84.82819,3.38523489,1.62,0.00128913,-6.6243869,42.5861,2.554315,4.57441,43.86108,44.04353,7.46570331,11.23052,4.1758401,1.75275,4.03,1.369,1.867,20.42441,24.73418,112.19194,80.57718,3.92016,7.7489,67.0784627,10.6088513,0.05392,-4.5405513,-2.5303882,37.87502,32.0901239,35.69993,10.673,4.62554005,15.7035,0.12321536,95.30724,182.815173,1068.20287,1471.97762,0.69502897,4.44246829,0.05045853,0.07915794,0.72272499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.78102737,0.93778409,1.52047773,1.5073903,2.45826182,0.23441129,,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_aliquantulus,0,1.306,4.31305136,122.04341,15.15832,123.15967,93.7848,80.7232527,2.703,82.57927,3.436265,1.087,0.00249655,-6.0109656,38.44429,2.25322,5.13504,49.2506129,46.94134,5.67981471,10.92471,4.21447538,1.07288,4.928,1.614,2.049,24.86733,24.353,100.52798,55.13486,3.7461863,8.32262,57.2536327,10.613975,5.01852,-1.5836224,1.46389,-14.62368,-31.606512,-45.148913,8.822,4.58381909,14.1995163,0.09398341,134.69524,208.670623,1325.27938,1527.64118,0.75866495,5.05208342,0.0550296,0.08054945,0.64663329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89692181,0.8123603,1.63608763,1.46164563,2.44844794,0.21298751,not_assessed,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_leucolimnaeus,0,1.306,4.31305136,122.04341,15.15832,123.15967,93.7848,80.7232527,2.703,82.57927,3.436265,1.087,0.00249655,-6.0109656,38.44429,2.25322,5.13504,49.2506129,46.94134,5.67981471,10.92471,4.21447538,1.07288,4.928,1.614,2.049,24.86733,24.353,100.52798,55.13486,3.7461863,8.32262,57.2536327,10.613975,5.01852,-1.5836224,1.46389,-14.62368,-31.606512,-45.148913,8.822,4.58381909,14.1995163,0.09398341,134.69524,208.670623,1325.27938,1527.64118,0.75866495,5.05208342,0.0550296,0.08054945,0.64663329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89692181,0.8123603,1.63608763,1.46164563,2.44844794,0.21298751,,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_neocenus,0,1.396,3.74691249,113.19406,13.98881,101.33695,63.91051,49.22592,3.196,68.50668,3.23315068,1.644,0.00690097,-5.7804845,30.82871,4.11176583,2.68368625,30.13555,34.29161,6.52218182,26.83154,3.89921245,1.42935,6.396,1.113,2.02281579,23.8619633,28.98086,80.01746,42.75558,3.88903,6.33483,44.7139927,11.2155879,-38.06,-40.72,-39.39,-61.97,-69.4,-65.68,0,1.62531126,0,0.13,24.08,140.94,338.65,765.03,0.6369609,5.77565791,0.10525417,0.10132901,0.48912912,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40570554,1.41385258,0.98719132,1.32093216,2.4010439,0.27566507,not_assessed,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_oenos,0,1.306,4.31305136,122.04341,15.15832,123.15967,93.7848,80.7232527,2.703,82.57927,3.436265,1.087,0.00249655,-6.0109656,38.44429,2.25322,5.13504,49.2506129,46.94134,5.67981471,10.92471,4.21447538,1.07288,4.928,1.614,2.049,24.86733,24.353,100.52798,55.13486,3.7461863,8.32262,57.2536327,10.613975,5.01852,-1.5836224,1.46389,-14.62368,-31.606512,-45.148913,8.822,4.58381909,14.1995163,0.09398341,134.69524,208.670623,1325.27938,1527.64118,0.75866495,5.05208342,0.0550296,0.08054945,0.64663329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89692181,0.8123603,1.63608763,1.46164563,2.44844794,0.21298751,,NA,NA,NA,NA,NA,NA,NA,NA
Amblyrhiza_inundata,0,2.18425,5.83794932,231.35499,10.6769721,206.1303,203.51286,313.243383,2.42774074,127.685,4.10213469,1.703,0.0044668,-5.672443,68.01067,1.93017206,4.01325,59.84064,72.45407,6.50958048,10.27758,4.64543035,1.85325,4.075,1.456,1.117,27.3807,89.65283,166.374933,419.79668,2.51096,11.27427,123.323523,10.9215818,-2.7660716,-9.9696057,-7.2123,27.47814,17.34545,20.62032,13.559,4.6325034,18.738,0.10594052,109.28089,214.81005,1174.91514,1495.47624,0.40357663,3.9473493,0.0576205,0.07882057,1.35114475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.09168503,0.65760915,1.38960139,1.76437959,2.04721054,0.20024844,extinct,NA,NA,NA,NA,NA,NA,NA,NA
Ammospermophilus_insularis,0,2.087,4.65588691,151,18.54909,148.67141,107.71778,113.92193,2.736,86.211,3.2877982,1.746,0.00320885,-6.1969974,79.81376,4.21902,1.62924,60.6041429,43.04748,6.18492101,26.65268,5.25112444,1.38933,7.879,1.154,1.244,28.54949,33.903812,123.20105,101.99,2.9723263,7.24279,70.8536127,4.41461482,24.53,24.39,24.46,-110.29,-110.39,-110.34,14,2.7080502,14,0.07,18,225,469.13774,1292.2482,0.37199094,7.03429663,0.15681372,0.10467803,0.63458736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.10436326,1.43960287,0.48811365,1.53813242,1.92771652,0.19732728,,NA,NA,NA,NA,NA,NA,NA,NA
Andalgalomys_roigi,0,1.306,4.31305136,122.04341,15.15832,123.15967,93.7848,80.7232527,2.703,82.57927,3.436265,1.087,0.00249655,-6.0109656,38.44429,2.25322,5.13504,49.2506129,46.94134,5.67981471,10.92471,4.21447538,1.07288,4.928,1.614,2.049,24.86733,24.353,100.52798,55.13486,3.7461863,8.32262,57.2536327,10.613975,5.01852,-1.5836224,1.46389,-14.62368,-31.606512,-45.148913,8.822,4.58381909,14.1995163,0.09398341,134.69524,208.670623,1325.27938,1527.64118,0.75866495,5.05208342,0.0550296,0.08054945,0.64663329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89692181,0.8123603,1.63608763,1.46164563,2.44844794,0.21298751,,NA,NA,NA,NA,NA,NA,NA,NA
