Zoonosis,Pathogen type,Transmission mode,Rodent host
Bartonellosis - other systemic,Bacteria,direct,Microtus_oeconomus
Bartonellosis - other systemic,Bacteria,direct,Peromyscus_maniculatus
Bartonellosis - other systemic,Bacteria,direct,Myodes_rutilus
Capillariasis - extraintestinal,Helminth,environmental,Peromyscus_maniculatus
Coccidioidomycosis,Fungus,multiple,Peromyscus_maniculatus
Cryptosporidiosis,Protozoa,environmental,Peromyscus_maniculatus
Cryptosporidiosis,Protozoa,environmental,Microtus_pennsylvanicus
Cryptosporidiosis,Protozoa,environmental,Microtus_breweri
Echinococcosis - multilocular,Helminth,environmental,Peromyscus_maniculatus
Echinococcosis - multilocular,Helminth,environmental,Microtus_pennsylvanicus
Echinococcosis - multilocular,Helminth,environmental,Myodes_gapperi
Hantavirus infection - Old World,Virus,environmental,Myodes_rutilus
Hantavirus infection - Old World,Virus,environmental,Microtus_maximowiczii
Hantavirus pulmonary syndrome,Virus,environmental,Peromyscus_maniculatus
Hantavirus pulmonary syndrome,Virus,environmental,Loxodontomys_micropus
Hantavirus pulmonary syndrome,Virus,environmental,Akodon_azarae
Hantavirus pulmonary syndrome,Virus,environmental,Peromyscus_boylii
Hantavirus pulmonary syndrome,Virus,environmental,Graomys_griseoflavus
Hantavirus pulmonary syndrome,Virus,environmental,Akodon_varius
Hantavirus pulmonary syndrome,Virus,environmental,Microtus_californicus
Hantavirus pulmonary syndrome,Virus,environmental,Oligoryzomys_nigripes
Hantavirus pulmonary syndrome,Virus,environmental,Oryzomys_palustris
Hantavirus pulmonary syndrome,Virus,environmental,Calomys_laucha
Hantavirus pulmonary syndrome,Virus,environmental,Peromyscus_gossypinus
Hantavirus pulmonary syndrome,Virus,environmental,Akodon_simulator
Hantavirus pulmonary syndrome,Virus,environmental,Reithrodontomys_megalotis
Hantavirus pulmonary syndrome,Virus,environmental,Oligoryzomys_longicaudatus
Hantavirus pulmonary syndrome,Virus,environmental,Oligoryzomys_flavescens
Plague,Bacteria,direct,Rhabdomys_pumilio
Plague,Bacteria,direct,Meriones_unguiculatus
Toxoplasmosis,Protozoa,environmental,Neotoma_micropus
Toxoplasmosis,Protozoa,environmental,Microtus_californicus
Whitewater Arroyo virus infection,Virus,environmental,Peromyscus_maniculatus
Whitewater Arroyo virus infection,Virus,environmental,Neotoma_micropus
Whitewater Arroyo virus infection,Virus,environmental,Peromyscus_boylii
Whitewater Arroyo virus infection,Virus,environmental,Reithrodontomys_megalotis
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
