Transmission,Primary cases, Secondary cases
1->0,14,7
1->1,7,1
1->2,1,0
1->3,1,0
1->4,0,0
1->6,2,1
1->10,1,0
1->11,1,0
1->13,1,0
1->17,0,0
1->18,1,1
1->19,0,0
1->2,0,2
2->0,0,5
2->1,0,2
2->2,0,1
2->4,0,1
3->0,1,6
3->11,0,0
3->20,0,1
4->10,0,1
4->26,0,1
6->3,0,2
6->18,0,1
7->1,0,1
1->3,0,1
10->6,0,1
10->7,0,1
11->19,0,1
11->140,0,1
13->3,0,1
17->2,0,1
18->1,0,1
18->2,0,1
19->0,0,1
19->23,0,1
20->3,0,1
20->6,0,1
23->3,0,1
24->0,0,1
26->44,0,1
44->20,0,1
140->24,0,1
