  Year,January,February,March,April,May,June,July,August,September,October,November,December
1856,0.242,0.175,0.247,0.166,0.218,0.241,0.254,0.231,0.298,0.148,0.159,0.253
1857,0.238,-0.036,-0.051,0.031,-0.009,0.124,0.155,0.021,0.043,-0.111,-0.145,-0.259
1858,-0.197,-0.29,-0.047,0.235,0.113,-0.016,-0.137,-0.048,0.094,0.171,0.298,0.145
1859,-0.11,-0.097,0.083,0.172,0.109,-0.079,-0.158,0.086,0.103,0.15,0.082,0.105
1860,0.138,-0.09,0.083,-0.047,0.191,0.325,0.251,0.061,0.017,0.132,0.014,0.163
1861,0.023,-0.088,0.015,0.269,0.216,0.313,0.436,0.324,0.281,0.235,0.237,0.137
1862,-0.006,-0.142,-0.052,-0.105,-0.161,-0.023,-0.273,-0.247,-0.236,-0.245,-0.331,-0.338
1863,-0.126,-0.023,0.048,0.07,0.044,-0.022,-0.274,-0.28,-0.138,-0.214,-0.158,-0.096
1864,-0.185,-0.335,-0.161,-0.015,0.092,0.135,0.281,0.367,0.215,0.145,0.207,0.208
1865,0.207,0.268,0.181,0.077,0.045,0.215,0.137,0.057,0.301,0.267,0.232,0.232
1866,0.065,0.192,0.227,0.145,0.188,0.364,0.295,0.272,0.161,0.154,0.281,0.29
1867,0.325,0.297,0.399,0.309,0.171,0.101,0.121,0.084,0.015,-0.015,0.126,-0.039
1868,0.075,0.144,0.215,0.274,0.2,0.339,0.419,0.216,0.16,-0.1,-0.043,0.136
1869,-0.1,0.105,0.091,0.258,0.295,0.228,0.294,0.148,0.107,0.007,-0.032,-0.074
1870,-0.146,0.022,-0.03,-0.156,-0.017,0.001,-0.028,0.112,0.163,0.169,0.186,0.121
1871,-0.124,-0.106,0.142,0.191,0.155,0.144,0.184,0.069,-0.076,-0.136,0.008,0.098
1872,-0.058,-0.042,-0.074,-0.062,0.188,0.229,0.296,0.396,0.427,0.059,-0.022,-0.04
1873,0.065,0.016,0.052,0.056,-0.038,-0.029,0.095,0.055,0.157,0.092,0.072,0.15
1874,0.062,-0.102,-0.108,-0.079,0.026,0.173,0.11,-0.003,0.191,-0.03,-0.047,-0.279
1875,-0.156,0.077,0.046,0.028,0.174,0.18,0.014,0.101,0.149,0.081,-0.049,-0.066
