"Reference date";"Total";"Men";"Women";"People aged 0 to 19 years";"People aged 20 to 64 years";"People aged 65 years and over"
"31.12.1869";"4497880";"2235402";"2262478";"1686009";"2577878";"233993"
"31.12.1880";"4963528";"2448644";"2514884";"1894102";"2789252";"280174"
"31.12.1890";"5417360";"2672067";"2745293";"2111963";"2985566";"319831"
"31.12.1900";"6003845";"2968237";"3035608";"2338976";"3320196";"344673"
"31.12.1910";"6648310";"3284667";"3363643";"2598182";"3649578";"400550"
"22.03.1934";"6760044";"3248173";"3511871";"1994900";"4229748";"535396"
"01.06.1951";"6933905";"3217240";"3716665";"2028320";"4172178";"733407"
"21.03.1961";"7073807";"3296400";"3777407";"2101811";"4098791";"873205"
"12.05.1971";"7491526";"3533694";"3957832";"2334406";"4095523";"1061597"
"12.05.1981";"7555338";"3572426";"3982912";"2168746";"4240598";"1145994"
"15.05.1991";"7795786";"3753989";"4041797";"1859255";"4769613";"1166918"
"15.05.2001";"8032926";"3889189";"4143737";"1837439";"4953808";"1241679"
"31.10.2011";"8401940";"4093938";"4308002";"1716508";"5193319";"1492113"
"01.01.2022";"8978929";"4425485";"4553444";"1730794";"5502445";"1745690"
