"Paper tile

",Pape link,Geography,Publication Year,Species,"Types of data
E.g., Data from patients?",Tags (Keywords),Category of data,Description/background/data dictionary?,Limitations?,Open access,Restriction on use?,Data Source/link,Model parameters and values,Codes?,Copyright,,
"Heavy-tailed sexual contact networks and monkeypox epidemiology in the global outbreak, 2022.",https://www.science.org/doi/full/10.1126/science.add4507?casa_token=LSKLcHscnX0AAAAA%3AK4G7Toa88eJQfl8i-wxckVw32G8yMIxSZmI-lk_y8PapABrL5VX9AlZcZQ3POH9-0XxXMmKGpwEOhQ,UK,2022,,Sexual contact data,Humans; sexual contact networks,Contact network data,self-reported number of sexual partners over one year,Details on the data is lacking. It is a summary of raw data.,Yes,NA,https://www.science.org/doi/suppl/10.1126/science.add4507/suppl_file/science.add4507_sm.pdf,,https://github.com/akira-endo/monkeypox_heavytail,"UK Data Service (serial numbers: SN 5223, SN 7799, and SN 8865)",,
"The Roles of Unrecognized Monkeypox Cases, Contact Isolation and Vaccination in Determining Epidemic Size in Belgium: A Modeling Study", https://doi.org/10.1093/cid/ciac723,Belgium,2022,,,"Humans, daily confirmed cases",Human data-daily confirmed cases,,,Yes,No,https://ourworldindata.org/monkeypox,,, Creative Commons BY license,,
Estimation of local transmissibility in the early phase of monkeypox epidemic in 2022.,https://doi.org/10.1016/j.cmi.2022.06.025,"England, Spain, Portugal",2022,Humans,"incidence data of monkeypox of all the
affected populations from the publicly available dashboard",Humans; parameter; Basic reproductive number; England Spain Portugal,"Human data-confirmed, suspected, discarded, daily, cumulative cases","Number of Cases, Number of cases by age group, Total number of deaths, total number of deaths by age group, number of cases by gender",,Yes,No,https://www.ilpandacentrostudio.it/uk.html,,,,,
Assessing transmission risks and control strategy for monkeypox as an emerging zoonosis in a metropolitan area.,https://doi.org/10.1002/jmv.28137,NA,2022,,NA,NA,NA,,,,,NA,,,,,
Modeling the protective effect of previous compulsory smallpox vaccination against human monkeypox infection: from hypothesis to a worst-case scenario.,https://doi.org/10.1016/j.ijid.2022.09.022,"Vienna, Austria ",2022,Humans,Absolute numbers of inhabitants in Vienna by age,Human; demography; Austria; Vienna,Demographic data,"Absolute numbers, smallpox vaccine-induced protection and probability of infection according to age of the population of Vienna. The year 1981 was chosen as the time point to classify the population into two cohorts. The compulsory smallpox vaccination was ceased in the year 1981.","An individual born during or after 1981 was presumed to be unimmunized to smallpox and were considered to possedd no cross protective immunity against monkeypox. Prior to 1981 some individuals may have not been vaccinated against smallpox and post 1981 some individuals for example soldiers working in smallpox endemic part of the world were expected to be vaccinated against smallpox. Likewise, the data doesnot provide other feature of the population that might be responsible for a variation in the development and decay in immunity after vaccination with smallpox vaccine.",Yes,No,https://www.statistik.at/statistiken/bevoelkerung-und-soziales/bevoelkerung/bevoelkerungsstand/bevoelkerung-nach-alter/geschlecht; https://ars.els-cdn.com/content/image/1-s2.0-S1201971222005215-mmc2.docx,,NA,Statistics Austria,,
Fractional order mathematical model of monkeypox transmission dynamics,https://iopscience.iop.org/article/10.1088/1402-4896/ac7ebc,Nigeria ,2022,,"data from Nigeria,
natural mortality rate and recruitment rate",Human; Clinical; Demography; Nigeria,"Demographic data, human clinical data","Weekly reported Number of reported and confirmed Cases, cases are stratified by age and sex,  geographical distribution of the cases",None,Yes,No,https://www.cdc.gov/poxvirus/monkeypox/response/2022/world-map.html,,No,,,
Transmission dynamics of Monkeypox virus: a mathematical modelling approach.,https://doi-org.uml.idm.oclc.org/10.1007/s40808-021-01313-2,None,2022,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,,
Estimating the undetected infections in the Monkeypox outbreak.,https://doi-org.uml.idm.oclc.org/10.1002/jmv.28099,"Brazil, Canada, France, Germany, Italy, Netherlands, Portugal, Spain, United Kingdom, USA",2022,,Daily confirmed cases,"Human data, daily confirmed cases ",Human data,,No,Yes,No,https://ourworldindata.org/monkeypox,,No,Creative Commons BY license,,
Stochastic modeling of the Monkeypox 2022 epidemic with cross-infection hypothesis in a highly disturbed environment,https://www.aimspress.com/article/doi/10.3934/mbe.2022633?viewType=HTML,NA,2022,,NA,NA,NA,NA,,NA,NA,NA,,No,,,
On nonlinear dynamics of a fractional order monkeypox virus model.,https://doi.org/10.1016/j.chaos.2022.112716,NA,2022,,NA,NA,NA,NA,NA,NA,NA,NA,,No,NA,,
Integrating data mining and transmission theory in the ecology of infectious diseases,https://doi.org/10.1111/ele.13520,,2020,,Various,"Transmission mode, Zoonoses with rodent reservoirs, rodent species, rodent host ","Pathogen data, animal data","Table S1: This table describes currently known rodent-borne zoonoses and their transmission modes; Table S2: This table describes traits and biogeography of extant rodent species (taxonomy according to Wilson and Reeder 2005), as well as the equilibrium prevalence values calculated for each species according to a model describing the transmission dynamics of a density dependent, directly transmitted pathogen (described in the manuscript).; Table S3: This table contains data on zoonotic pathogens that are environmentally and directly transmitted, and rodent species that are known carriers of each pathogen (confirmed or putative zoonotic reservoirs); Table S4: This table lists all rodent species whose geographic ranges overlap the Afrotropical ecozone, their status as reservoirs for zoonotic diseases, their mean equilibrium prevalence values (generated by a system of differential equations describing transmission dynamics of pathogens similar to Monkeypox), and the study effort for each species as estimated by the number of hits in Web of Science resulting from a search on Latin binomials of each species and the additional term ""monkeypox"".",,NA,NA,https://caryinstitute.figshare.com/collections/Supplementary_data_tables_Integrating_data_mining_and_transmission_theory_in_the_ecology_of_infectious_diseases/4912389/1,,,Cary Institute,,
"Estimated incubation period for monkeypox cases confirmed in the Netherlands, May 2022.",https://doi.org/10.2807/1560-7917.ES.2022.27.24.2200448,Netherlands ,2022,Humans,cases laboratory-confirmed by PCR ,Monkeypox; parameter; incubation period; Netherlands,Human clinical data,"Case ID, Start date of exposure, End date of exposure,Symptom onset. This is an anomyzed data of monkeypox cases confirmed in the Netherlands in May 2022 to estimat the incubation period of the disease. ","The authors have unanomyzed the information like the  exact dates of exposures and symptom onsets, demographic information to ensure that the privacy of this sensitive information is maintianed. 0 means the earliest date of exposure.",Yes,No,https://github.com/fmiura/MpxInc_2022/blob/main/data/anonym_data.csv,The data was fitted to different parametric distributions and goodness of fit was estimated.,https://github.com/fmiura/MpxInc_2022/blob/main/src/1_StanModel_MPXinc.R,"MIT License: A short and simple permissive license with conditions only requiring preservation of copyright and license notices. Licensed works, modifications, and larger works may be distributed under different terms and without source code.",,
Controlling emerging zoonoses at the animal-human interface,https://doi.org/10.1186/s42522-020-00024-5,None,2020,,NA,,,NA,NA,NA,NA,NA,,NA,,,
Characterizing the transmission potential of zoonotic infections from minor outbreaks.,https://doi.org/10.1371/journal.pcbi.1004154, Great Britain,2015,,POLYMOD survey in Great Britain,"Age, Sex, household size, day of the week, country ","Human data, demographical data ","Reported physical contacts in Great Britain in POLYMOD study. The surveys were conducted between May
2005 and September 2006 with the oral informed consent of
participants. ",,Yes,,"Table 1, https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.0050074&type=printable",,"S1 Code. Simulation and inference code, https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004154#sec016",,,
The distribution of time to extinction in subcritical branching processes: Applications to outbreaks of infectious disease (no monkeypox),https://www.jstor.org/stable/3215440,NA,1999,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,
Detecting differential transmissibilities that affect the size of self-limited outbreaks.,https://doi.org/10.1371/journal.ppat.1004452,,2014,,Transmission chain data,"Congo, size of the infection ","Human data, demographical data","Generation-to-generation spread of observed monkeypox in the Democratic Republic of Congo; Data on the observed number of primary cases and sizes of infection clusters
for monkeypox in the Democratic Republic of Congo",,NA,NA,https://doi.org/10.1371/journal.ppat.1004452.s002,,,,,
The role of evolution in the emergence of infectious diseases.,https://doi.org/10.1038/nature02104,,2003,,Simulated,NA,NA,,,,,,,,,,
Analysis of the Incidence of Poxvirus on the Dynamics between Red and Grey Squirrels,https://doi.org/10.3390/math6070113,,2018,,SImulated,NA,NA,,,,,,,,,,
Effects of georeferencing effort on mapping monkeypox case distributions and transmission risk.,https://doi.org/10.1186/1476-072X-11-23,,2012,,Human case data,Human; annual confirmed cases; Africa,Human epidemiological data,"Total reported monkeypox case distribution across seven countries in Central and West Africa, 1970–1986. The data is a result of a joint WHO/CDC surveillance efforts.",,,,,,,,,
Mapping monkeypox transmission risk through time and space in the Congo Basin.,https://doi.org/10.1371/journal.pone.0074816,,2013,,Human case data,Human; annual confirmed cases; Congo basin,Human epidemiological data,human cases reported in the Congo Basin by the World Health Organization,,,,,,,,,
Pathogen-host associations and predicted range shifts of human monkeypox in response to climate change in central Africa.,https://doi.org/10.1371/journal.pone.0066071,,2013,,Various,Human; annual confirmed cases; DRC,Human epidemiological data,"Human MPX occurrence data was partly collected during an ongoing study in DRC and partly derived from a World Health Organization (WHO) based intensified disease surveillance program during the 1970s and 1980s. Since 2001, UCLA, in collaboration with the WHO, the National Institute of Biomedical Research, and the Ministry of Health in Kinshasa have been actively conducting MPX disease surveillance in humans in DRC. The disease surveillance has been intensified since 2004. In addition to these localized data, we used locality information from human MPX cases reported by the Centers for Disease Control (CDC) and WHO in the 1970s and 1980s as part of the smallpox eradication program; potential reservoir species were identified from previous studies showing MPXV infections in these species, or studies suggesting these species might be important in transmitting MPXV to humans maps of forest clearing since 2000; maps of Sankuru's climate over the past ten years; maps of temperature and canopy moisture",,Yes,NA,,,,,,
Ecological niche and geographic distribution of human monkeypox in Africa.,https://doi.org/10.1371/journal.pone.0000176,,2007,,"Climatic, geographic, and case data",Human; annual confirmed cases; Africa,"Climatic, geographic, and case data","Locations of known occurrences of human monkeypox in the endemic regions of Africa were compiled though comprehensive literature search and analysis of Centers for Disease Control and Prevention (CDC) and World Health Organization (WHO) data collections compiled from outbreak investigations and surveillance activities. For this study, a human monkeypox case was defined as a published report or a non-redundant, unpublished case (with supporting laboratory evidence) recorded in CDC or WHO monkeypox data collections. Cases recorded by WHO during the years 1970–1986 were classified based on results of findings from electron microscopy, virus culture, and/or serology. CDC's current case definition requires laboratory evidence of monkeypox virus in clinical specimens demonstrated via polymerase chain reaction (PCR), electron microscopy, or tissue culture; Environmental data sets input into Genetic Algorithm for Rule-Set Prediction (GARP) for ENM came from three principal sources. Climatic data averaged over the period 1961–1990, including data layers (‘coverages’) summarizing mean annual temperature, mean maximum monthly temperature, mean minimum monthly temperature, diurnal temperature range, mean annual precipitation, wet days, and ground frost days, were drawn from the Intergovernmental Panel on Climate Change (IPCC; native resolution ∼50×∼50 km; http://ipcc-ddc.cru.uea.ac.uk/). Land-surface data summarizing elevation, aspect, water flow accumulation, water flow direction, and compound topographic index (a measure of the tendency of water to pool) were obtained from the U.S. Geological Survey's Hydro-1K data set (native resolution 1×1 km; http://edc.usgs.gov/products/elevation/gtopo30/hydro/). Finally, summarized land cover across Africa were drawn from the University of Maryland Global Land Cover Facility (http://glcf.umiacs.umd.edu/index.shtml). All data layers were generalized to a pixel resolution of ∼10×∼10 km (0.1×0.1°) for analysis, in view of some georeferencing imprecision for occurrence localities.",,Not,NA,,,,,,
