number,created_at,text,source,user is verified,user has url,user description,user created at,retweet_count,reply_count,like_count,quote_count,followers count,following count,tweet count,listed_count,user location,binary_class,ternary_class
18,2022-07-08 10:12,Much of the focus on #monkeypox recently has been on how its affecting people in richer countries during this current outbreak. Dr Charles Mahzude spoke to me on #aidsmapLIVE about what we know from West Africa where moneypox is endemic about how it affects people with HIV. _URL_,Twitter Web App,FALSE,FALSE,"Mother of 4, ex wife of 3. Battling health inequity & misinformation. HIV activist & broadcaster. Award winning #aidsmapLIVE host. She/Her. Personal views.:raised_fist_medium-dark_skin_tone:",2011-08-14 19:22,2,0,2,0,3696,2993,3459,25,"London, England",0,0
31,2022-07-09 0:00,"ICYMI: The first probable case of monkeypox in West Virginia has been identified, state health officials announced Friday. _URL_",TweetDeck,TRUE,TRUE,"WCHS-TV serves the Charleston-Huntington market with the latest news, sports and weather. Share your content with us at _URL_",2009-04-17 15:21,2,0,1,0,75836,1753,125528,531,"Charleston, WV",0,0
32,2022-07-09 0:00,WHO: #Monkeypox outbreak not yet a global public health emergency _URL_ via @statnews #healthcare _URL_,eClincher,FALSE,FALSE,Patient Engagement | Revenue Cycle Management | Healthcare Thought Leader | #PatientStatements #PatientPayments,2019-03-05 19:24,0,0,0,0,2852,2381,10615,14,"Utah, USA",0,0
33,2022-07-09 0:00,"According to the CDC, monkeypox is usually spread by prolonged, direct contact with a person who has an infectious rash or scab. Monkeypox symptoms can include a fever, headache, muscle aches, swollen lymph nodes, chills and exhaustion. _URL_",Sprout Social,TRUE,TRUE,Home of the Minnesota @Twins and @Timberwolves Always live on the free @Audacy app,2009-02-18 14:57,1,0,1,0,22897,5665,119258,663,Downtown Minneapolis,0,0
34,2022-07-09 0:00,LGBTQ advocates and health care organizations raised alarms on Thursday with public health officials' response to the monkeypox outbreak in New York amid concerns over access to vaccines and updated data. _URL_,SocialNewsDesk,TRUE,TRUE,"Spectrum News 1 offers the best 24-hour local news coverage in Rochester plus weather, sports and your favorite features.",2008-10-27 2:14,0,0,0,0,81296,466,148219,747,"Rochester, NY",0,0
35,2022-07-09 0:00,@Slinderboy @smg4official Anyone can contract monkeypox.,Twitter Web App,FALSE,TRUE,"Ya'll better buy Klonoa, on jah Credit to @PookaArts for icon. Follow @ChosenZela @StageCraftBeast @thelouiefuture and @CyanHyprPsychic",2021-02-21 1:08,0,0,0,0,861,4948,20732,3,the void,0,0
37,2022-07-09 0:00,"NEW INFO: The number of monkeypox cases in Texas is now 27, according to the Department of State Health Services. That's up from 20 on Tuesday. _URL_",SocialNewsDesk,TRUE,TRUE,Breaking news and local stories from KENS 5 - San Antonio.,2009-06-11 5:56,3,1,0,1,177362,528,230286,1132,"San Antonio, Texas",0,0
39,2022-07-09 0:00,Here's how you can get tested for Monkeypox if you think you've been infected :backhand_index_pointing_down: _URL_,Twitter for iPhone,TRUE,TRUE,"Honored to represent CA's 44th Congressional District, #CA44. Member of @EnergyCommerce @HomelandDems @HispanicCaucus @USProgressives. @Dodgers fan.",2017-01-05 2:29,6,1,8,0,32877,9353,8058,807,"San Pedro, CA",0,0
41,2022-07-09 0:00,"The U.S. May Be Losing the Fight Against Monkeypox, Scientists Say _URL_",WordPress.com,FALSE,TRUE,Straight Outta Manhattan,2012-10-11 23:21,0,0,0,0,63,1,71719,0,"Manhattan, NY",0,0
42,2022-07-09 0:00,"07/08/2022 11:11 PM UTC  :newspaper: Monkeypox in the Bay Area: From Symptoms to How to Find a Vaccine, Here's What We Know [KQED]  :backhand_index_pointing_right: Latest monkeypox news around the :globe_showing_Americas: _URL_   #MonkeypoxVirus #monkeypox #Monkeypoxalypse #Cash #Credit",Monkeypox News & Data,FALSE,TRUE,Real-time Monkeypox data & News,2022-07-03 15:43,0,0,0,0,853,0,78,0,None,0,0
45,2022-07-09 0:00,"#Monkeypox is rare &amp; does not spread easily between people without close contact. The threat of #MonkeyPox to the general NJ population remains low. For more information, visit @CDCgov at _URL_ #HealthierJC @JerseyCity _URL_",Hootsuite Inc.,FALSE,TRUE,"Together with our partners HHS, JCHA, JCMC, NJCU & JCPC, our mission is to create a culture of health in Jersey City, NJ.",2016-03-03 21:22,0,0,0,0,2245,1582,7434,30,"Jersey City, NJ",0,0
47,2022-07-09 0:01,New York Post : Men likely spread monkeypox at Texas bathhouses through sex with multiple men. _URL_ via @GoogleNews,Twitter for Android,FALSE,TRUE,Su Real Alteza Guillermo Dafid desde Casa Morillo de Andalusia y Rey de Nuevo Espana y del Gente y Conde de Cartagena y Marqués de La Puerta (1816 Fernando VII),2011-08-11 15:40,0,0,0,0,530,499,144866,2,Florida,0,0
48,2022-07-09 0:01,Dozens line up for vaccine against monkeypox in New York City _URL_ via @MailOnline,Twitter Web App,FALSE,FALSE,"_ Mother, Daughter, Friend & Animal lover. Founder of Enigma Films & Sarskaia. Science Nerd. Life is too short. Always look at the bright side._",2011-01-03 1:28,0,0,0,0,2660,5002,223398,338,Rocky Mountain High - USA,0,0
49,2022-07-09 0:01,French health body indicates at-risk groups to be vaccinated against monkeypox _URL_,Twitter Web App,FALSE,TRUE,Innovate your world via one click visit...!,2021-07-28 21:51,0,0,0,0,5,1,8767,0,Pakistan,0,0
50,2022-07-09 0:01,France urges monkeypox jab for sex workers — RT World News _URL_,Twitter Web App,FALSE,FALSE,None,2010-10-10 12:06,0,0,0,0,787,4973,1248889,98,None,0,0
51,2022-07-09 0:02,South Africa: Monkeypox Does Not Spread Faster in Men Who Have Sex With Men – Virus Spreads Through Contact _URL_,WordPress.com,TRUE,TRUE,Kenya's Dedicated Online Human Drugs and Medicines Pharmacy.,2014-11-30 15:43,0,0,0,0,1362,278,23289,10,Nairobi,0,0
54,2022-07-09 0:02,Experts: Monkeypox not as contagious as Covid-19 _URL_ _URL_,TwitterRSSTSOLAgent,TRUE,TRUE,News updates from Malaysia's top English-language daily and website.,2009-03-03 6:19,1,0,0,0,1793873,252,477725,4106,"Kuala Lumpur, Malaysia",0,0
57,2022-07-09 0:03,What's your risk level for getting monkeypox in South Carolina? We asked experts _URL_,SocialNewsDesk,TRUE,TRUE,"News19 WLTX is On Your Side with Breaking News, Weather and Sports from Columbia, SC. Retweets are not an endorsement. | _URL_",2008-11-14 14:14,1,0,0,0,124132,3262,491971,1112,"Columbia, SC",0,0
62,2022-07-09 0:04,"If you want to understand why the monkeypox vaccine and govt response has been so slow to roll out and/or read a bit more what this experience has been like, @MrJDWalsh does a job on elucidating both _URL_",Twitter for iPhone,FALSE,TRUE,(he/him) PMHNP :rainbow_flag::transgender_flag:| personal account | probably tweeting stupid shit until i get pissed like about monkeypox | aprendendo :Brazil:,2009-09-22 4:32,0,0,2,0,8819,1242,2059,11,"New York, NY",0,0
63,2022-07-09 0:04,First MONKEY POX case reported in Kolkata? Student admitted with 'RASH' _URL_,WordPress.com,FALSE,TRUE,"Chay Time News is a news website where you can find news in every category like Politics, Entertainment, B-Town Gossips, Sports & many More.",2019-06-16 6:28,0,0,0,0,301,953,116473,2,New Delhi,0,0
65,2022-07-09 0:04,West Virginia detects first probable case of monkeypox - Newsworldpress @ _URL_ _URL_,NewsWorldpress,FALSE,TRUE,"_URL_ focuses in global news, travel industry and gadget technology. We brings you the latest news from around the world.",2019-10-13 6:11,0,0,0,0,129,2,396239,6,None,0,0
